,BLK_away,BLK_home,FBPS_away,FBPS_home,PF_away,PF_home,PITP_away,PITP_home,PTS_OFF_TO_away,PTS_OFF_TO_home,SEC_PTS_away,SEC_PTS_home,game_ID
38,5,5,9,14,28,19,38,38,11,19,14,18,20171109PHIvsSAC
39,7,7,11,19,23,15,38,54,22,16,26,19,20171109OKCvsDEN
40,3,5,10,8,24,22,36,56,26,11,9,12,20171108INDvsDET
41,2,7,4,21,21,15,48,48,21,27,16,12,20171108NYKvsORL
42,8,6,10,0,30,20,52,52,9,24,14,25,20171108LALvsBOS
43,4,2,8,27,25,29,52,50,17,15,10,10,20171108MIAvsPHX
44,0,9,14,35,14,23,52,44,18,26,14,0,20171108MINvsGSW
45,8,4,18,8,31,16,58,42,15,23,7,12,20171107MILvsCLE
46,5,4,6,7,18,21,52,46,12,17,20,14,20171107NOPvsIND
47,8,5,6,5,23,19,42,34,15,8,18,7,20171107DALvsWAS
